real_a,real_b,real_c,signed_a,signed_b,signed_c,corr_a,corr_b,corr_c,household_a,household_b,household_c,desired_avail,worst,o_raw,pub,fve_offset_kw,vitals_a,vitals_b,vitals_c,vitals_vehicle,contactor_closed,car_charging
1.23,1.56,1.50,1.23,1.56,1.50,10.00,10.10,10.10,-8.77,-8.54,-8.60,8.64,10.10,17.46,17.05,0.00,10.00,10.10,10.10,9.10,1,1
1.23,1.56,1.50,1.23,1.56,-1.00,10.00,10.10,10.10,-8.77,-8.54,-11.10,8.64,10.10,17.46,17.04,0.00,10.00,10.10,10.10,9.10,1,1
1.02,1.56,1.50,1.02,1.56,-1.00,10.00,10.10,10.10,-8.98,-8.54,-11.10,8.65,10.10,17.45,17.04,0.00,10.00,10.10,10.10,9.10,1,1
1.02,1.56,1.50,1.02,1.56,-1.00,10.00,10.10,10.10,-8.98,-8.54,-11.10,8.95,10.10,17.15,16.81,0.00,10.00,10.10,10.10,9.10,1,1
1.02,1.56,1.50,-1.00,1.56,-1.00,10.00,10.10,10.10,-11.00,-8.54,-11.10,8.96,10.10,17.14,16.81,0.00,10.00,10.10,10.10,9.10,1,1
1.02,0.92,1.50,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,8.98,10.10,17.12,16.79,0.00,10.00,10.10,10.10,9.10,1,1
1.02,0.92,1.50,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,9.01,10.10,17.09,16.77,0.00,10.00,10.10,10.10,9.10,1,1
1.02,0.92,1.00,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,9.55,10.10,16.55,16.36,0.00,10.00,10.10,10.10,9.10,1,1
1.02,0.92,1.00,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,9.60,10.10,16.50,16.32,0.00,10.00,10.10,10.10,9.10,1,1
1.50,0.92,1.00,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,9.65,10.10,16.45,16.29,0.00,10.00,10.10,10.10,9.10,1,1
1.50,0.92,1.00,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,9.95,10.10,16.15,16.06,0.00,10.00,10.10,10.10,9.10,1,1
1.50,0.92,1.00,-1.00,0.92,-1.00,10.00,10.10,10.10,-11.00,-9.18,-11.10,9.96,10.10,16.14,16.06,0.00,10.00,10.10,10.10,9.10,1,1
1.50,1.04,1.00,-1.00,1.04,-1.00,10.00,10.10,10.10,-11.00,-9.06,-11.10,9.99,10.10,16.11,16.05,0.00,10.00,10.10,10.10,9.10,1,1
